"Metering point","OBIS code","Unit","Started at","Value (1-65:1.29.9)","Interval length (min)","Estimated/measured/edited","Version"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T06:00:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T06:15:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T06:30:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T06:45:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T07:00:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T07:15:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T07:30:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T07:45:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T08:00:00+01:00","0.727","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T08:15:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T08:30:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T08:45:00+01:00","0.282","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T09:00:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T09:15:00+01:00","0.404","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T09:30:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T09:45:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T10:00:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T10:15:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T10:30:00+01:00","0.333","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T10:45:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T11:00:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T11:15:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T11:30:00+01:00","1.137","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T11:45:00+01:00","21.467","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T12:00:00+01:00","9.852","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T12:15:00+01:00","0.986","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T12:30:00+01:00","0.336","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T12:45:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T13:00:00+01:00","0.405","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T13:15:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T13:30:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T13:45:00+01:00","0.285","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T14:00:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T14:15:00+01:00","0.504","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T14:30:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T14:45:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T15:00:00+01:00","0.744","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T15:15:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T15:30:00+01:00","0.414","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T15:45:00+01:00","0.000","15","Measured","3"
